coucode,casecode,indcode,ecorisk,dCi
3,21,6,0.0304679500327941,-0
3,21,7,0.0209541576012562,-0
3,21,8,0.0201769395825453,-0
3,21,9,0.0175258182057608,-0
3,21,10,0.0134982902127744,-0
3,21,11,0.0135428893055254,-0
3,21,12,0.0185132959810743,-0
3,21,13,0.0178779432958623,-0
3,21,14,0.0159691864009448,-0
3,21,15,0.027433087785006,-0
3,21,16,0.0127991335127985,-0
3,21,17,0.00482536574294634,-0
3,21,18,0.0140969436407948,-0
3,21,19,0.0259725533466549,-0
3,21,20,0.022574073285073,-0
3,21,21,0.684509447630744,0.898372967095109
3,21,22,0.0250280299833111,-0
3,21,23,0.0314095170842307,-0
3,21,24,0.0184311085994254,-0
3,21,25,0.0172798553492253,-0
3,21,26,0.0146718925445004,-0
3,21,27,0.0232230583346147,-0
3,21,28,0.0136847925881649,-0
3,21,29,0.0280142623604244,-0
3,21,30,0.00106003490385487,-0
3,21,31,0.00098427653865707,-0
3,21,32,0.000117671181724899,-0
3,21,33,0.0115686466538656,-0
3,21,34,0.000172797693298476,-0
3,22,1,0.00016545054243422,-0
3,22,2,0.000986895575332269,NaN
3,22,3,0.000244535541535917,-0
3,22,4,0.000282522382779593,-0
3,22,5,0.000223382762362445,-0
3,22,6,0.000513490543627038,-0
3,22,7,0.00131984803039664,-0
3,22,8,0.000630374441046855,-0
3,22,9,0.000345919096161995,-0
3,22,10,0.000252105868548069,-0
3,22,11,0.000557190796376061,-0
3,22,12,0.000633826094918355,-0
3,22,13,0.000659452439994435,-0
3,22,14,0.00114995221800895,-0
3,22,15,0.00119692463545018,-0
3,22,16,0.00042457319523248,-0
3,22,17,0.000158905249217134,-0
3,22,18,0.000990655049610933,-0
3,22,19,0.000321472350184759,-0
3,22,20,0.000264379618674093,-0
3,22,21,0.000250629180856166,-0
3,22,22,0.0422462731055919,0.134674958768864
3,22,23,0.00201214064605904,-0
3,22,24,0.00153228633102998,-0
3,22,25,0.00806004604796762,-0
3,22,26,0.000612647710784175,-0
3,22,27,0.000677719231810592,-0
3,22,28,0.000247747747825766,-0
3,22,29,0.00102280265010768,-0
3,22,30,3.02610975231321e-05,-0
3,22,31,6.43914116342792e-05,-0
3,22,32,7.94319264130205e-06,-0
3,22,33,0.000232589156723084,-0
3,22,34,1.94901712358142e-06,-0
3,24,1,0.000107521605471672,-0
3,24,2,0.00100937821052283,NaN
3,24,3,0.000174132656542092,-0
3,24,4,9.97572651089129e-05,-0
3,24,5,0.000146458256698234,-0
3,24,6,0.000162637611337502,-0
3,24,7,0.00176493414171974,-0
