coucode,casecode,dGDP
20,21,0.0331541972557622
20,22,0.00136679809865429
20,24,0.00345249370449054
20,33,0.0243822883046383
20,20,0.0945943797054271
20,0,0.156950157068972
21,21,0.0366769958927988
21,22,0.00237889670541476
21,24,0.00432101621228656
21,33,0.0290634448524663
21,20,0.114416117375024
21,0,0.186856471037991
22,21,0.0356686726421922
22,22,0.00229297076131971
22,24,0.0036037182189186
22,33,0.0215022980560789
22,20,0.103573286775032
22,0,0.166640946453542
23,21,0.0366756990405795
23,22,0.00211002625646827
23,24,0.00404532384260615
23,33,0.0266688287458808
23,20,0.09043652610614
23,0,0.159936403991675
24,21,0.0362652460748305
24,22,0.00235391503177143
24,24,0.00420565785559416
24,33,0.0253342192628169
24,20,0.125171055407565
24,0,0.193330093632578
25,21,0.0366746105769251
25,22,0.00234669688584581
25,24,0.00436613431934376
25,33,0.0289577435820045
25,20,0.112208713846413
25,0,0.184553899210532
26,21,0.0355516333731209
26,22,0.00252692407777286
26,24,0.00431982371416041
26,33,0.0278614973737278
26,20,0.10810738895027
26,0,0.178367267489052
27,21,0.0353316106062978
27,22,0.0020484840235421
27,24,0.00355223994442815
27,33,0.0173146141790435
27,20,0.106237085939394
27,0,0.164484034692705
28,21,0.0361836771737349
28,22,0.000328659089213449
28,24,0.00431953817751961
28,33,0.0191009538917551
28,20,0.0781039180211487
28,0,0.138036746353372
29,21,0.0366672705257653
29,22,0.00158854938098038
29,24,0.00437033958464475
29,33,0.0242612579250047
29,20,0.0945196057470467
29,0,0.161407023163442
30,21,0.0366769958927988
30,22,0.00222269179419063
30,24,0.00392850720828663
30,33,0.0281207728719217
30,20,0.110849027320394
30,0,0.181797995087592
31,21,0.0363179081021421
31,22,0.00219572575777471
31,24,0.00437050043319962
31,33,0.0194200638362778
31,20,0.0674649244402417
31,0,0.129769122569636
32,21,0.0362974629879016
32,22,0.00201953917521697
32,24,0.0042021827960268
32,33,0.0259395252850328
32,20,0.112605954127121
32,0,0.181064664371299
33,21,0.0355526666504475
33,22,0.00171409714429188
33,24,0.00346229252336335
33,33,0.0246108823321376
33,20,0.0976269555016346
33,0,0.162966894151875
34,21,0.0338562719619641
34,22,0.00167453680858452
34,24,0.00401114971879785
34,33,0.0233069109619913
34,20,0.131105626605134
34,0,0.193954496056472
35,21,0.0364161206373115
35,22,0.0018289865649458
35,24,0.00405015699441318
35,33,0.0274045968772149
35,20,0.12190142888006
35,0,0.191601289953945
36,21,0.033867323720584
36,22,0.00173321488369466
36,24,0.00387241880359275
36,33,0.0152553206962595
36,20,0.0953962867800441
36,0,0.150124564884175
37,21,0.0352699041347981
37,22,0.00248929994460516
37,24,0.00416543228863483
37,33,0.0265135414870855
37,20,0.138613081588135
37,0,0.207051259443258
38,21,0.0330555871033648
38,22,0.00234900154587685
38,24,0.00293297147795443
38,33,0.0225086444098113
38,20,0.0848882264909891
38,0,0.145734431027996
39,21,0.0332776734846574
39,22,0.00203883076590642
39,24,0.00373564997652674
39,33,0.0212592848137154
39,20,0.0855481466822152
39,0,0.145859585723021
40,21,0.0365061081005914
40,22,0.00233099894451224
40,24,0.00412078484077416
40,33,0.0222196668628027
40,20,0.097991101201928
40,0,0.163168659950609
41,21,0.036542622424963
41,22,0.00224903311860815
41,24,0.00435002416993587
41,33,0.0245329336072672
41,20,0.110409847728267
41,0,0.178084461049041
42,21,0.0364295143037517
42,22,0.0023650746225398
42,24,0.00437042365952146
42,33,0.0285580549103503
42,20,0.108556398316702
42,0,0.180279465812866
43,21,0.0365563841790018
43,22,0.00204359574277339
43,24,0.00423617909144616
43,33,0.0287219460601465
43,20,0.109056147475228
43,0,0.180614252548596
